"","college_Player","college_G","college_GS","college_MP","college_FG","college_FGA","college_FG.","college_2P","college_2PA","college_2P.","college_3P","college_3PA","college_3P.","college_FT","college_FTA","college_FT.","college_ORB","college_DRB","college_TRB","college_AST","college_STL","college_BLK","college_TOV","college_PF","college_PTS","college_Team","nba_G","nba_MP","nba_PER","nba_OWS","nba_DWS","nba_WS","nba_WS.48","nba_OBPM","nba_DBPM","nba_BPM","nba_VORP"
"1","A.J. Hammons",18,15.25,26.3,4.925,9.15,0.53775,4.875,9,0.5415,0.05,0.15,NA,3.175,4.55,0.692,2.475,4.825,7.3,0.8,0.425,2.5,2.225,2.6,13.05,"purdue",22,163,8.4,-0.2,0.2,0,-0.001,-6.6,0,-6.6,-0.2
"2","Aaron Gordon",18,18,31.2,4.9,10.3,0.476,4.7,9.3,0.506,0.2,0.9,0.176,2.2,5,0.444,2.7,5.2,7.9,1.7,0.8,0.6,1.2,2.6,12.2,"arizona",55.8888888888889,1587.22222222222,14.7888888888889,1.22222222222222,1.62222222222222,2.84444444444444,0.0811111111111111,-0.0333333333333333,-0.133333333333333,-0.166666666666667,0.788888888888889
"3","Aaron Harrison",18,17.5,29.85,3.75,9.7,0.387,2.35,5.2,0.4595,1.4,4.5,0.314,3.3,4,0.831,0.65,2.3,2.95,1.4,1.3,0.2,1.3,1.85,12.25,"kentucky",11.6666666666667,114.333333333333,2.4,-0.2,0.1,-0.0666666666666667,-0.058,-8.03333333333333,-0.466666666666667,-8.53333333333333,-0.133333333333333
"4","Aaron Holiday",18,12,31.9666666666667,4.8,10.5333333333333,0.450666666666667,2.9,6.3,0.463,1.9,4.16666666666667,0.434,3.26666666666667,3.96666666666667,0.813333333333333,0.533333333333333,2.66666666666667,3.2,4.76666666666667,1.03333333333333,0.166666666666667,3.13333333333333,2.86666666666667,14.6666666666667,"ucla",60.6666666666667,1146.33333333333,10.9,-0.0333333333333333,1.1,1.06666666666667,0.0456666666666667,-2.2,-0.266666666666667,-2.46666666666667,-0.133333333333333
"5","Aaron Jackson",14.5,3.5,13.4,1.125,3.1,0.3505,0.5,1.275,0.388,0.625,1.8,0.3185,0.375,0.625,0.57025,0.575,1.225,1.825,0.425,0.35,0.05,0.575,1.325,3.225,"east-carolina",1,35,2.4,0,0,0,-0.017,-6.6,-2.3,-8.9,-0.1
"6","Aaron Nesmith",9.5,9,36,5.65,12.65,0.441,2.55,6.35,0.4075,3.15,6.35,0.5045,1.3,3.05,0.418,1.15,5.05,6.2,1.1,1.85,1.3,1.5,3.65,15.75,"vanderbilt",46,669,9.4,0.5,0.6,1.1,0.076,-2.8,-0.4,-3.2,-0.2
"7","Abdel Nader",16.25,11.75,25.075,3.65,9.725,0.38275,2.45,6.05,0.42475,1.2,3.725,0.318,2.15,2.925,0.756,1.025,3.625,4.675,1.05,0.75,0.55,2.4,2.45,10.675,"northern-illinois",47,609.5,9.65,-0.025,0.75,0.7,0.05425,-2.825,0.425,-2.375,-0.05
"8","Admiral Schofield",18,12.25,26.125,4.625,9.975,0.46525,3.35,6.475,0.5215,1.275,3.55,0.3695,1.75,2.3,0.77775,1.35,4.275,5.65,1.275,0.675,0.35,1.325,2.9,12.3,"tennessee",33,368,6.1,0.1,0.1,0.1,0.017,-4.3,-1.2,-5.5,-0.3
"9","Adonis Thomas",9,9,29.45,4.45,8.8,0.5465,3.55,6.7,0.561,0.95,2.05,0.5,1.7,2.35,0.64,0.95,2.25,3.2,1.85,0.75,1.35,1.2,1.7,11.55,"memphis",4,24.6666666666667,7.73333333333333,0,0,0,0.01,-4.1,-2.06666666666667,-6.16666666666667,0
"10","Adreian Payne",16.5,10.5,20.375,3.2,6.15,0.51825,2.675,5,0.53325,0.5,1.175,NA,1.65,2.425,0.6655,1.575,3.425,4.95,0.7,0.5,0.775,1.4,2.125,8.5,"michigan-state",23.1666666666667,357,9.53333333333333,-0.35,0.166666666666667,-0.183333333333333,0.0228333333333333,-4.45,-0.666666666666667,-5.06666666666667,-0.383333333333333
"11","Alec Burks",16,16,32.9,6.3,15.2,0.412,5.4,12.1,0.443,0.9,3.1,0.286,6.6,8.2,0.809,2.7,4.9,7.6,2.8,0.8,0.4,3.4,2.5,20,"colorado",44.9333333333333,1012.66666666667,13.8133333333333,0.926666666666667,0.766666666666667,1.69333333333333,0.0814666666666667,-0.353333333333333,-0.373333333333333,-0.726666666666667,0.333333333333333
"12","Alec Peters",16.5,16.5,31.8,5.5,11.3,0.486,3.625,6.6,0.55625,1.875,4.7,0.39325,2.975,3.575,0.8145,2.1,5.65,7.7,1.6,0.625,0.275,1.8,1.975,15.85,"valparaiso",20,225,10.7,0.2,0,0.3,0.055,-0.5,-2.3,-2.8,0
"13","Alex Kirk",16,12.6666666666667,25,3.63333333333333,7.56666666666667,0.439333333333333,3.36666666666667,6.53333333333333,0.477333333333333,0.233333333333333,1.06666666666667,0.225333333333333,1.8,2.6,0.657333333333333,1.73333333333333,4.7,6.4,0.733333333333333,0.3,1.9,1.2,1.9,9.26666666666667,"new-mexico",5,14,8.5,0,0,0,0.061,-2.5,-3.5,-6,0
"14","Alex Len",17,11.5,24.9,3.1,6.3,0.5035,3.1,6.15,0.512,0,0.15,0,1.75,2.75,0.5975,2.2,4.55,6.75,0.8,0.3,1.95,1.7,2.85,7.95,"maryland",54.1666666666667,1008.16666666667,14.7,1.09166666666667,1.06666666666667,2.16666666666667,0.09525,-2.03333333333333,0.133333333333333,-1.875,0.108333333333333
"15","Alex Poythress",16.3333333333333,9.66666666666667,22.3666666666667,3.16666666666667,5.9,0.540333333333333,3,5.2,0.578666666666667,0.166666666666667,0.7,0.193666666666667,2.33333333333333,3.26666666666667,0.713666666666667,1.53333333333333,3.66666666666667,5.2,0.5,0.333333333333333,0.533333333333333,1.46666666666667,2.93333333333333,8.9,"kentucky",17.3333333333333,188.666666666667,11.0666666666667,0.233333333333333,0.133333333333333,0.3,0.0836666666666667,-2.36666666666667,-1.46666666666667,-3.83333333333333,-0.0666666666666667
"16","Alex Stepheson",18,18,32.3,3.9,7.2,0.538,3.9,7.2,0.538,0,0,NA,2.2,4,0.542,3.2,6.1,9.3,0.1,0.4,1.1,1.3,2.6,9.9,"southern-california",5.33333333333333,48.6666666666667,13.2,0,0.0666666666666667,0.0666666666666667,0.08,-2,-0.5,-2.46666666666667,0
"17","Alfonzo McKinnie",13.25,8.5,17.925,2.65,5.125,0.51075,2.35,4.35,0.52575,0.3,0.775,NA,0.975,1.5,0.72,1.75,2.725,4.5,0.25,0.425,0.575,1.075,2.6,6.5,"green-bay",41.25,476.75,11.375,0.375,0.4,0.8,0.0885,-2.225,-0.85,-3.05,-0.2
"18","Alize Johnson",18,18,32.75,5.2,11.85,0.436,3.75,7.65,0.4845,1.45,4.15,0.3515,3.95,5.35,0.73,3.3,8.5,11.8,2.3,0.55,0.4,2.3,2.3,15.7,"missouri-state",16.3333333333333,123.666666666667,14.3666666666667,0.2,0.2,0.4,0.121666666666667,-1.6,-0.6,-2.2,0.0333333333333333
"19","Allonzo Trier",13,11,31.8666666666667,5,10.8666666666667,0.461333333333333,3.03333333333333,5.7,0.544333333333333,1.93333333333333,5.2,0.376666666666667,4.46666666666667,5.36666666666667,0.832,0.266666666666667,3.7,3.93333333333333,2.4,0.6,0.233333333333333,1.6,1.66666666666667,16.3666666666667,"arizona",44,875,13.35,0.45,0.3,0.7,0.0585,-0.3,-1.45,-1.75,-0.15
"20","Amida Brimah",16.25,14.75,22.7,2.725,4.35,0.627,2.725,4.35,0.627,0,0,NA,1.775,2.7,0.67375,2.025,2.675,4.7,0.175,0.175,2.7,1.1,2.75,7.2,"connecticut",5,29,16.6,0,0.1,0,0.073,-6.2,1.4,-4.8,0
"21","Amile Jefferson",17.25,13,22.925,2.6,4.35,0.5975,2.6,4.35,0.5975,0,0,NA,1.375,2.325,0.6045,2.2,3.575,5.75,0.85,0.575,0.875,0.8,2.35,6.575,"duke",15,71,15,0.1,0.1,0.2,0.1405,-2.15,0.5,-1.65,0
"22","Andre Dawkins",16.6666666666667,3.66666666666667,18.2,2.33333333333333,5.8,0.400333333333333,0.666666666666667,1.36666666666667,0.477666666666667,1.7,4.43333333333333,0.372333333333333,0.933333333333333,1.2,0.781666666666667,0.266666666666667,1.5,1.76666666666667,0.333333333333333,0.466666666666667,0.1,0.866666666666667,1.8,7.3,"duke",4,22,-5,-0.1,0,-0.1,-0.172,-9,-3.8,-12.8,-0.1
"23","Andre Drummond",18,18,30.7,4.9,9.7,0.503,4.9,9.6,0.509,0,0.1,0,0.7,2.6,0.283,3.6,5.1,8.6,0.6,0.8,2.6,1.8,2.3,10.5,"connecticut",57.5384615384615,1765.61538461538,21.3076923076923,1.85384615384615,3.43846153846154,5.30769230769231,0.127769230769231,0.0692307692307692,0.630769230769231,0.7,1.39230769230769
"24","Andre Roberson",16.6666666666667,11,28.8,3.33333333333333,6.93333333333333,0.483333333333333,2.83333333333333,5.4,0.529666666666667,0.5,1.6,0.326333333333333,1.53333333333333,2.76666666666667,0.567333333333333,2.93333333333333,6.83333333333333,9.73333333333333,1.03333333333333,1.6,1.5,1.7,2.6,8.7,"colorado",43.8571428571429,971.571428571429,8.34285714285714,0.6,1.2,1.8,0.0582857142857143,-3.1,0.928571428571429,-2.17142857142857,0.328571428571429
"25","Andrew Goudelock",18,18,35,8.7,18.5,0.468,5.4,10.4,0.519,3.3,8.1,0.404,2.8,3.6,0.785,0.4,2.9,3.3,5.1,0.9,0.1,2.9,1.6,23.4,"college-of-charleston",16.3333333333333,158.333333333333,4.8,-0.0333333333333333,0.0666666666666667,0.0333333333333333,-0.0953333333333333,-5.9,-2.26666666666667,-8.16666666666667,-0.1
"26","Andrew Harrison",18,17.5,29.6,2.85,7.9,0.3595,1.9,5.35,0.3475,0.95,2.55,0.3845,3.6,4.5,0.797,0.65,2.15,2.8,3.65,0.75,0.15,2,2.3,10.25,"kentucky",27,529,6.91666666666667,0.133333333333333,0.366666666666667,0.516666666666667,2.88838235013716e-19,-5.6,-1.51666666666667,-7.13333333333333,-0.133333333333333
"27","Andrew White",14,9,19.6,3.2,7.275,0.35375,1.675,3.2,0.55925,1.525,4.075,0.267,1.575,1.975,0.53625,0.675,2.625,3.275,0.45,0.775,0.175,0.925,1.325,9.475,"syracuse",15,209,5.8,-0.2,0.1,-0.1,-0.034,-3.4,-2.1,-5.5,-0.2
"28","Andrew Wiggins",18,18,32.7,5.5,12.2,0.452,4.1,8.4,0.49,1.4,3.8,0.368,5.2,6.8,0.764,2.7,3.5,6.2,1.8,1.3,0.9,2.4,3.1,17.6,"kansas",64.3333333333333,2273.77777777778,15.2555555555556,1.27777777777778,1.04444444444444,2.31111111111111,0.0505555555555556,0.266666666666667,-1.61111111111111,-1.33333333333333,0.233333333333333
"29","Anthony Bennett",16,13,24.4,4.7,9.6,0.487,3.9,7.3,0.53,0.8,2.3,0.351,1.9,3.2,0.588,2.3,4.9,7.2,0.7,0.5,1.1,2.2,2.6,12.1,"nevada-las-vegas",37.75,476.25,10.85,-0.225,0.35,0.125,0.03325,-2.725,-1.425,-4.15,-0.325
"30","Anthony Brown",17.2,11,25.66,3.06,7.3,0.4012,1.72,3.86,0.3988,1.34,3.42,0.436,1.84,2.46,0.7476,0.68,3.16,3.84,1.42,0.52,0.16,1.26,1.74,9.28,"stanford",10.4,184.2,15.68,-0.16,0.1,-0.06,0.1234,2.42,0.16,2.58,-0.14
"31","Anthony Davis",13.5,8,19.65,3.25,5.4,0.437,2.95,4.45,0.3495,0.25,1,0.25,1.85,2.4,NA,1.6,3.25,4.8,0.6,0.8,2.45,0.55,1.2,8.5,"kentucky",62.6666666666667,2155.66666666667,26.6888888888889,6.03333333333333,3.61111111111111,9.63333333333333,0.21,4.53333333333333,1.56666666666667,6.1,4.44444444444444
"32","Anthony Edwards",18,18,35.2,6.6,16.1,0.408,4.1,7.7,0.536,2.4,8.4,0.291,4.7,5.9,0.794,0.8,4.8,5.6,2.5,1.2,0.6,2.9,2.4,20.3,"georgia",72,2314,13.9,-0.6,1.4,0.8,0.017,-0.4,-1.7,-2.1,-0.1
"33","Anthony Gill",17,10.8333333333333,25.8333333333333,3.21666666666667,6.8,0.473833333333333,3.05,6.2,0.485333333333333,0.166666666666667,0.566666666666667,NA,2.13333333333333,3.45,0.611833333333333,2.26666666666667,2.75,5.01666666666667,0.783333333333333,0.583333333333333,0.383333333333333,1.28333333333333,2.51666666666667,8.75,"virginia",26,218,13.7,0.3,0.3,0.6,0.123,-1.6,0.3,-1.3,0
"34","Anthony Lamb",11.75,11.5,22.875,4.4,9,0.45825,3.3,6.3,0.40175,1.1,2.7,0.445,3.4,4.175,0.8345,0.975,4.8,5.775,1.35,0.625,0.95,1.925,1.825,13.25,"vermont",24,415,8.7,0.1,0.1,0.2,0.023,-3.4,-2.7,-6.1,-0.4
"35","Antonio Blakeney",18,14,31.75,5.55,11.9,0.469,3.85,7.35,0.53,1.7,4.55,0.3745,3.15,4.2,0.7535,0.9,3.2,4.1,1.25,0.7,0.1,1.25,1.65,15.95,"louisiana-state",38,571.5,10.35,-0.5,0.2,-0.25,-0.018,-2.6,-2.55,-5.2,-0.5
"36","Antonius Cleveland",15.5,13,29.15,4.85,9.775,0.50275,4.35,8.1,0.53975,0.525,1.65,0.334,2.4,3.825,0.6155,1.325,3.5,4.825,2,1.375,0.55,2.05,2.65,12.625,"southeast-missouri-state",11.25,73,3.9,-0.1,0.075,-0.025,-0.024,-8.05,1.175,-6.9,-0.075
"37","Archie Goodwin",18,18,32.1,4.4,10.9,0.408,4.1,8.8,0.462,0.4,2.1,0.184,3.5,6.1,0.573,1.6,2.4,4.1,2.1,1.2,0.3,3.1,3.2,12.8,"kentucky",30,435,14.9333333333333,0.05,0.266666666666667,0.316666666666667,0.101833333333333,-0.133333333333333,-0.433333333333333,-0.583333333333333,-0.0833333333333333
"38","Armoni Brooks",17,6.66666666666667,22,3.13333333333333,7.86666666666667,0.396333333333333,0.8,2.06666666666667,0.414666666666667,2.33333333333333,5.83333333333333,0.385333333333333,0.6,0.766666666666667,0.805333333333333,0.866666666666667,3.36666666666667,4.26666666666667,0.6,0.633333333333333,0.266666666666667,0.7,1.53333333333333,9.23333333333333,"houston",20,520,10.4,0.1,0.2,0.3,0.03,-1.1,-2.1,-3.2,-0.2
"39","Arnett Moultrie",16,16,36.6,5.9,10.5,0.565,5.8,10,0.575,0.2,0.5,0.375,3.6,5,0.713,3.3,6.9,10.2,1,0.9,0.9,2.7,2.6,15.6,"mississippi-state",29.5,364.5,11.7,0.5,0.35,0.85,0.078,-2.95,-1.3,-4.25,-0.1
"40","Ashton Hagans",17.5,17,32.4,3.3,7.65,0.447,2.8,5.8,0.501,0.55,1.85,0.2835,3,3.9,0.771,0.3,3.15,3.4,5.15,1.8,0.1,3.15,2.4,10.15,"kentucky",2,4,-12.4,0,0,0,-0.353,-13.7,-7.4,-21.1,0
"41","Austin Rivers",16,15,35.6,5.4,12.1,0.446,3.4,6.7,0.514,1.9,5.4,0.36,2.9,4.9,0.595,0.6,3.2,3.8,2,1,0,2.3,1.8,15.6,"duke",51.7333333333333,1253.2,9.76,0.4,0.713333333333333,1.11333333333333,0.0435333333333333,-2.47333333333333,-0.593333333333333,-3.06,-0.333333333333333
"42","B.J. Johnson",11.75,8,20.4,3.325,8.05,0.292,2.175,4.675,NA,1.15,3.4,0.26225,2.1,2.45,NA,0.95,3.35,4.275,0.4,0.675,0.475,1.45,1.275,9.9,"syracuse",6,45.25,8.975,-0.05,0.025,0.025,0.015,-4.5,-3.075,-7.575,-0.025
"43","Bam Adebayo",18,18,30.9,4.8,7.2,0.667,4.8,7.1,0.672,0,0.1,0,4.4,6.5,0.675,2.6,4.8,7.4,0.4,0.8,1.6,1.7,2.7,13.9,"kentucky",71.75,1960.25,19.15,3.975,3.1,7.075,0.171,0.7,1.725,2.425,2.35
"44","Ben Bentil",18,17.5,29.15,4.65,10.35,0.452,3.75,7.4,0.512,0.9,3,0.233,4.75,5.95,0.802,2.55,3.75,6.3,1,0.55,0.75,1.65,2.8,14.95,"providence",3,10,-17.6,-0.1,0,-0.1,-0.473,-19.7,-6.2,-25.9,-0.1
"45","Ben Hansbrough",18,18,36.7,6.6,12.9,0.509,4,6.9,0.576,2.6,5.9,0.43,5,5.9,0.849,0.8,3.3,4.1,4.3,1.6,0.2,2.4,2.7,20.7,"notre-dame",28,200,7.2,-0.1,0.3,0.2,0.044,-5.2,1,-4.2,-0.1
"46","Ben McLemore",18,17,33.8,5.8,11.3,0.515,3.6,6.4,0.56,2.2,4.9,0.455,3.6,4.2,0.853,1.4,3.8,5.2,1.9,1.1,0.7,2.2,1.8,17.4,"kansas",54.5,1215.4,9.41,0.23,0.62,0.85,0.0318,-2.24,-1.11,-3.35,-0.34
"47","Ben Moore",18,13,24.85,3.425,6.175,0.55475,3.425,6.1,0.558,0.025,0.075,NA,2.175,3.325,0.653,2.2,3.575,5.825,1.725,0.825,0.95,1.475,2.3,9.05,"southern-methodist",2,9,-2.3,0,0,0,0.072,-10.5,1.3,-9.3,0
"48","Ben Simmons",18,17,35.9,6.5,11.8,0.549,6.5,11.8,0.552,0,0.1,0,7.1,10.7,0.663,2.8,8.5,11.3,4.7,1.9,0.5,3.8,2.9,20.1,"louisiana-state",68.75,2331.5,19.675,3.825,3.75,7.575,0.1565,1.55,2.075,3.65,3.35
"49","Bernard James",16,15.5,25.95,4,6.25,0.6415,4,6.25,0.6415,0,0,NA,2.25,3.75,0.6025,2.7,3.9,6.55,0.3,1.05,2.2,1.6,1.8,10.2,"florida-state",30.6666666666667,253.666666666667,13.0666666666667,0.3,0.366666666666667,0.6,0.11,-2.63333333333333,0.666666666666667,-1.9,0
"50","Billy Garrett",17.25,17,29.55,3.875,9.775,0.3965,2.65,6.125,0.436,1.225,3.675,0.33375,4.25,5.275,0.80975,0.275,2.475,2.75,3.425,1,0.125,2.65,2.8,13.25,"depaul",4,63,9.8,0,0,0,-0.019,-3.9,-1.7,-5.5,-0.1
"51","Bobby Brown",17,8.25,22.3,2.75,7.025,0.393,1.675,3.85,0.45075,1.05,3.225,0.3045,1.075,1.7,0.60675,1.35,3.7,5.05,0.75,0.4,0.425,1.075,1.325,7.625,"alabama-state",22.5,119,8.15,-0.1,0.05,-0.05,-0.02,-2.5,-2.9,-5.4,-0.1
"52","Bobby Portis",18,18,30.25,6.1,11.45,0.524,5.85,10.7,0.538,0.25,0.8,0.3125,2.95,3.85,0.7595,3.25,4.85,8.05,1.25,1.1,1.9,1.5,2.05,15.35,"arkansas",53.875,1138.5,16.4375,1.0125,1.15,2.1625,0.0865,0.2,-1.55,-1.3375,0.2625
"53","Bonzie Colson",13.5,8,26.275,5.375,10.475,0.545,4.925,9.125,0.56525,0.425,1.325,0.29325,2.825,3.475,0.82125,2.825,5.775,8.6,0.825,0.7,1.375,1.1,2.125,13.975,"notre-dame",8,98,12.9,0,0.2,0.2,0.085,-2.6,-0.8,-3.5,0
"54","Brad Wanamaker",18,18,32.2,3.8,8.9,0.422,3.4,7.6,0.445,0.4,1.3,0.292,3.2,4.4,0.722,1.2,4.1,5.3,4.8,1.4,0.3,2.3,2.6,11.1,"pittsburgh",45.8,763.6,11.2,0.42,0.84,1.26,0.0754,-3.28,0.54,-2.72,-0.08
"55","Bradley Beal",16,16,34.6,4.3,9.9,0.434,2.9,5.6,0.528,1.4,4.4,0.314,4.4,5.3,0.824,1.3,5.8,7,1.9,1.4,0.9,1.9,2.4,14.4,"florida",67.2222222222222,2331,18.0666666666667,3.46666666666667,1.8,5.26666666666667,0.105777777777778,2.48888888888889,-0.833333333333333,1.65555555555556,2.2
"56","Branden Dawson",15.75,14.75,26.75,4.15,7.325,0.5655,4.15,7.3,0.57,0,0.075,NA,1.375,2.4,0.59275,2.625,4.25,6.825,1,1.25,1.275,1.525,1.55,9.7,"michigan-state",6,29,7.1,0,0,0,0.069,-3.6,-2,-5.7,0
"57","Brandon Clarke",17.3333333333333,11,29.6333333333333,6.26666666666667,9.56666666666667,0.661666666666667,6.16666666666667,9.33333333333333,0.672333333333333,0.1,0.266666666666667,0.527666666666667,2.43333333333333,4.06666666666667,0.606,2.76666666666667,5.66666666666667,8.36666666666667,2.06666666666667,0.9,2.56666666666667,1.46666666666667,2.13333333333333,15.0333333333333,"san-jose-state",58.5,1357.5,19.1,2.8,1.8,4.6,0.1625,1.4,0.95,2.3,1.5
"58","Brandon Davies",15.3333333333333,15.3333333333333,29.4333333333333,5.4,10.4666666666667,0.51,5.4,10.4,0.513666666666667,0,0.1,NA,4.26666666666667,6.43333333333333,0.668,2.1,5.6,7.76666666666667,2.16666666666667,1.33333333333333,1.1,2.6,3.33333333333333,15.0666666666667,"brigham-young",26.25,355.25,9.3,-0.175,0.325,0.125,0.0015,-4.925,-0.65,-5.575,-0.3
"59","Brandon Goodwin",17.5,13.5,24.75,2.45,5.8,0.386,1.95,4.05,0.4565,0.45,1.75,0.2425,1.4,2.5,0.565,0.9,1.55,2.5,2.7,0.95,0.05,2.15,1.55,6.75,"central-florida",32.3333333333333,369,9.7,-0.1,0.2,0.1,0.0156666666666667,-2.93333333333333,-2.23333333333333,-5.16666666666667,-0.133333333333333
"60","Brandon Ingram",18,18,37.2,5.8,13.7,0.421,3.3,7.8,0.421,2.5,5.9,0.421,3.3,4.5,0.741,1.8,5.8,7.6,2.3,0.8,1.5,2.6,2.1,17.4,"duke",62.6,2042.2,14.74,1.56,1.4,2.98,0.0702,0.12,-0.78,-0.66,0.68
"61","Brandon Knight",16,16,37,5.6,13,0.433,3.4,7.6,0.446,2.3,5.4,0.414,3.7,4.6,0.808,0.7,3.9,4.6,4.1,0.5,0.2,2.9,2.4,17.2,"kentucky",40.9285714285714,1169.28571428571,11.3857142857143,0.521428571428571,0.607142857142857,1.13571428571429,0.0205714285714286,-1.22857142857143,-1.85,-3.06428571428571,0.171428571428571
"62","Brandon Paul",18,12,30.2333333333333,4.23333333333333,10.6666666666667,0.394333333333333,2.46666666666667,5.43333333333333,0.447666666666667,1.8,5.3,0.342,3.63333333333333,4.83333333333333,0.765,0.7,3.16666666666667,3.86666666666667,2.33333333333333,1.13333333333333,0.566666666666667,2.7,2.5,13.9,"illinois",64,576,7.4,-0.3,0.8,0.5,0.045,-5.1,1.6,-3.5,-0.2
"63","Brandon Rush",16.3333333333333,10,22.4333333333333,3.66666666666667,8.4,0.447666666666667,2.16666666666667,4.2,0.516666666666667,1.53333333333333,4.2,0.381,1.43333333333333,1.8,0.77,0.6,2.23333333333333,2.8,1.13333333333333,0.733333333333333,0.166666666666667,1.2,1.23333333333333,10.2666666666667,"fairleigh-dickinson",46.2857142857143,895.714285714286,8.47142857142857,0.5,0.6,1.11428571428571,0.0318571428571429,-2.2,-0.142857142857143,-2.32857142857143,0.214285714285714
"64","Brandon Sampson",16.6666666666667,5.66666666666667,17.4666666666667,2.16666666666667,5.2,0.368666666666667,1.33333333333333,2.63333333333333,0.456333333333333,0.833333333333333,2.56666666666667,0.289666666666667,1.43333333333333,1.86666666666667,0.673,0.333333333333333,1.73333333333333,2.06666666666667,0.933333333333333,0.433333333333333,0.1,1.4,1.13333333333333,6.6,"louisiana-state",14,214,8.5,-0.1,0.1,0,0.01,-3.9,-0.9,-4.7,-0.1
"65","Briante Weber",14.5,6,23.525,2.275,5.4,0.40575,1.975,4.275,0.4575,0.275,1.15,0.2445,2.075,2.7,0.78275,0.65,2.6,3.3,2.525,2.925,0.225,1.65,2.3,6.9,"virginia-commonwealth",10,135.777777777778,12.9222222222222,-0.0444444444444444,0.177777777777778,0.155555555555556,0.107555555555556,-3.64444444444444,2.2,-1.44444444444444,-0.0444444444444444
"66","Brice Johnson",18,8.75,21.1,4.55,8.225,0.52925,4.55,8.225,0.52925,0,0,NA,1.95,2.875,0.663,2.325,4.825,7.15,0.85,0.725,1.05,1.275,2.425,11,"north-carolina",9.75,51.25,18.225,-0.05,0.1,0.075,0.02825,-3.225,2.85,-0.375,0.025
"67","Bruce Brown",13,13,33.85,4.15,9.7,0.4295,3.2,6.7,0.476,1,3.05,0.325,2.9,4.05,0.7205,1.45,4.25,5.75,3.35,1.5,1.05,2.5,2.8,12.25,"miami-fl",65.6666666666667,1511.33333333333,11.6333333333333,1.13333333333333,1.5,2.66666666666667,0.0846666666666667,-2.26666666666667,0.666666666666667,-1.53333333333333,0.166666666666667
"68","Bruno Fernando",19,16.5,27.5,4.35,7.8,0.5605,4.3,7.6,0.566,0.1,0.25,0.3665,3.05,3.85,0.7895,2.6,6.5,9.1,1.6,0.5,1.1,2.45,2.75,11.9,"maryland",44.5,469.5,9.05,0.05,0.35,0.35,0.018,-4.65,-0.65,-5.3,-0.35
"69","Bryce Cotton",17.75,13.5,33.3,4.5,10.9,0.39725,2.325,5,0.456,2.175,5.875,0.358,3.425,4.225,0.8105,0.55,2.325,2.85,2.775,0.675,0.15,1.45,1.375,14.575,"providence",7.75,59.25,10.5,-0.075,0.025,-0.025,-0.0295,-3.2,-0.925,-4.15,-0.05
"70","Bryce Dejean-Jones",14,9.5,21.3,3.125,7.475,0.40025,2.425,4.925,0.4815,0.75,2.525,0.27025,1.975,2.9,NA,0.925,2.65,3.6,1.725,0.725,0.2,1.35,1.65,9,"southern-california",14,279,9.6,0,0.2,0.2,0.033,-2.5,0,-2.5,0
"71","Bryn Forbes",16.75,14.75,30.8,4.35,9.875,0.43925,1.875,4.175,0.4505,2.475,5.725,0.42725,1.9,2.35,0.79825,0.475,2.2,2.675,1.375,0.675,0.1,1.175,1.725,13.05,"michigan-state",66.2,1405.6,10.18,1.28,0.76,2.04,0.0606,-1.38,-1.36,-2.74,-0.04
"72","Buddy Hield",17,16.25,32.875,5.95,13.175,0.4455,3.225,6.225,0.5185,2.725,6.925,0.35175,2.6,3.1,0.83375,1.45,3.55,5.025,2.125,1.35,0.275,2.275,2.075,17.25,"oklahoma",67,1866.28571428571,14.1428571428571,1.21428571428571,1.12857142857143,2.35714285714286,0.0554285714285714,1.05714285714286,-1.32857142857143,-0.285714285714286,0.971428571428571
"73","C.J. Wilcox",16.75,9.75,26.875,4.475,10.575,0.42275,2.475,5.075,0.52575,1.95,5.5,0.3535,2.2,2.7,0.85175,0.825,2.325,3.15,1.45,0.8,0.625,1.35,1.775,13.125,"washington",22,125.333333333333,8.1,-0.0666666666666667,0.1,0.0333333333333333,-0.00833333333333333,-3.93333333333333,-0.866666666666667,-4.83333333333333,-0.1
"74","C.J. Williams",2.5,0,2.5,0.15,0.65,NA,0,0.15,NA,0.15,0.5,NA,0.15,0.25,NA,0.15,0.65,0.75,0.15,0,0,0,0.25,0.5,"longwood",26.5,417.5,9.15,0.2,0.3,0.4,0.0465,-3.3,0.45,-2.9,-0.05
"75","Caleb Martin",10,8,17.5,3.15,7.175,NA,1.65,3.2,NA,1.525,4,NA,2.075,2.8,NA,0.475,2.175,2.625,1.325,0.675,0.3,1.025,1.175,9.9,"pepperdine",35.5,567.5,10.75,-0.05,0.55,0.5,0.0555,-2.6,0.4,-2.2,-0.1
"76","Caleb Swanigan",17.5,17.5,28.7,5.05,10.4,0.483,4.25,8.1,0.526,0.8,2.3,0.3335,3.4,4.4,0.7565,2,8.05,10.05,2.05,0.35,0.45,2.8,2.6,14.35,"purdue",17.5714285714286,160.142857142857,6.1,-0.228571428571429,0.171428571428571,-0.0714285714285714,-0.0355714285714286,-7.51428571428571,0.828571428571429,-6.68571428571429,-0.171428571428571
"77","Cam Reddish",17,17,33.4,4.8,13.9,0.346,2.2,5.6,0.396,2.6,8.3,0.312,2.5,3.4,0.737,0.8,3.5,4.2,2.4,1.5,0.8,2.9,2.5,14.7,"duke",42,1150.5,9.15,-0.75,0.75,0,0.0075,-3.3,-0.45,-3.7,-0.55
