"","college_Player","college_G","college_GS","college_MP","college_FG","college_FGA","college_FG.","college_2P","college_2PA","college_2P.","college_3P","college_3PA","college_3P.","college_FT","college_FTA","college_FT.","college_ORB","college_DRB","college_TRB","college_AST","college_STL","college_BLK","college_TOV","college_PF","college_PTS","college_Team","nba_G","nba_MP","nba_PER","nba_OWS","nba_DWS","nba_WS","nba_WS.48","nba_OBPM","nba_DBPM","nba_BPM","nba_VORP"
"217","Gian Clavell",18,10,30.8,5,12.25,0.4005,2.9,6.45,0.461,2.15,5.8,0.3505,2.75,3.8,0.717,0.85,4.45,5.25,1.3,1.4,0.65,1.45,2.3,14.85,"colorado-state",7,64,7.4,0,0,0.1,0.042,-2.7,0.5,-2.2,0
"218","Gorgui Dieng",16.3333333333333,13.6666666666667,28.1666666666667,3.36666666666667,6.3,0.543,3.36666666666667,6.3,0.543,0,0,NA,1.93333333333333,3.03333333333333,0.638,2.7,5.16666666666667,7.9,1.33333333333333,1.16666666666667,2.63333333333333,1.73333333333333,2.73333333333333,8.66666666666667,"louisville",54.5,1128.66666666667,17.1333333333333,1.575,1.30833333333333,2.88333333333333,0.136833333333333,0,1.15,1.15833333333333,0.708333333333333
"219","Grant Jerrett",17,0,18.6,1.7,4.6,0.372,0.6,2,0.324,1.1,2.6,0.409,0.2,0.3,0.8,1.2,2.1,3.3,0.6,0.3,1.1,0.4,1.5,4.7,"arizona",5.33333333333333,34,1.36666666666667,-0.133333333333333,0.0333333333333333,-0.0666666666666667,-0.131,-10.0666666666667,-0.9,-10.9333333333333,-0.0666666666666667
"220","Grant Riller",18,17.25,33.45,7.05,13.3,0.53,5.275,9.05,0.58225,1.75,4.225,0.4185,4.125,5.175,0.79175,0.5,3.125,3.675,2.775,1.225,0.275,2.15,2.225,19.95,"college-of-charleston",7,27,23.6,0.1,0,0.1,0.177,4.6,0.5,5.1,0
"221","Grant Williams",14.25,13.5,22.45,3.9,7.95,NA,3.7,7.225,NA,0.2,0.725,NA,4.225,5.4,NA,1.95,2.8,4.75,1.375,0.65,1.2,1.475,2.45,12.275,"tennessee",66,1090.5,7.7,0.1,1.2,1.35,0.0585,-4.05,0.85,-3.2,-0.35
"222","Grayson Allen",17,12.25,28.425,4.125,9.825,0.4165,2.125,4.275,0.4905,2.025,5.55,0.36625,3.325,4.025,0.831,0.5,2.575,3.025,3.15,1.125,0.1,2,2.15,13.525,"duke",42,797.666666666667,10.7666666666667,0.633333333333333,0.666666666666667,1.3,0.0616666666666667,-1.5,-1.06666666666667,-2.6,0.0666666666666667
"223","Greg Smith",13.1666666666667,8.66666666666667,18.2833333333333,2.35,5.06666666666667,NA,2.06666666666667,4.23333333333333,NA,0.266666666666667,0.833333333333333,NA,1.68333333333333,2.46666666666667,NA,1.06666666666667,2.8,3.83333333333333,1.05,0.383333333333333,0.4,1.03333333333333,1.73333333333333,6.63333333333333,"saint-josephs",29.8,366.8,12.04,0.74,0.36,1.08,0.1218,-2.64,0.26,-2.4,0.02
"224","Greg Whittington",10,1,27.15,2.3,5.75,0.3945,1.25,3.35,0.375,1.05,2.4,0.423,1.45,2.4,0.6395,0.65,3.35,4,1.15,0.55,0.7,1.35,2.85,7.05,"georgetown",4,12,-10.2,-0.1,0,-0.1,-0.259,-11.4,-5.7,-17.2,0
"225","Hamidou Diallo",18,18,22.9,2.3,6.7,0.347,1.8,4.7,0.376,0.6,2,0.278,1.8,3.1,0.582,0.7,2.3,3.1,0.8,0.6,0.3,1.3,2.6,7,"kentucky",40.2,774.8,12.36,0.02,0.88,0.88,0.0556,-3.06,0.08,-2.98,-0.14
"226","Harrison Barnes",16,15,29.3,6,14,0.431,4.55,9.45,0.48,1.5,4.55,0.332,3.2,4.25,0.748,2.05,3.45,5.5,1,0.85,0.4,1.85,1.9,16.75,"north-carolina",67.9090909090909,2155.36363636364,13.2272727272727,2.17272727272727,1.67272727272727,3.84545454545455,0.0854545454545455,-0.163636363636364,-0.863636363636364,-1.01818181818182,0.545454545454545
"227","Harry Giles",18,6,12.8,2.1,3.6,0.594,2.1,3.6,0.594,0,0,NA,0.5,1.1,0.45,1.8,2.6,4.4,0.3,0.3,0.5,0.8,2.3,4.7,"duke",47.3333333333333,611.666666666667,14.4,0.3,0.733333333333333,1.03333333333333,0.079,-2.93333333333333,0.5,-2.4,-0.0666666666666667
"228","Henry Ellenson",18,18,35.7,5.9,13.1,0.449,5.1,9.9,0.508,0.8,3.2,0.263,4.4,6.1,0.734,1.8,7.9,9.7,1.4,1,1.7,2.3,2.9,17.1,"marquette",14.5714285714286,149.428571428571,10.0428571428571,-0.0428571428571429,0.142857142857143,0.1,0.027,-2.31428571428571,-1.14285714285714,-3.45714285714286,-0.0428571428571429
"229","Henry Sims",18,9,20.75,2.25,5.3,0.473,2.25,5.25,0.4795,0,0.05,NA,2.25,3.35,0.581,1.35,2.95,4.3,1.95,0.45,0.95,2.1,2.6,6.7,"georgetown",30.1666666666667,569.5,16.9666666666667,0.6,0.516666666666667,1.11666666666667,0.0856666666666667,-1.05,-1.91666666666667,-2.96666666666667,-0.1
"230","Hollis Thompson",18,13.5,27.3,3.55,7.85,0.46,2.1,4.45,0.4815,1.5,3.4,0.4375,1.05,1.7,0.626,1.15,3.55,4.7,0.95,0.8,0.4,1.25,2.25,9.7,"georgetown",50.8333333333333,1196,8.53333333333333,0.6,0.6,1.2,0.0441666666666667,-2.53333333333333,-0.2,-2.75,-0.233333333333333
"231","Ian Clark",18,17.6666666666667,28.6666666666667,5.4,10.4666666666667,0.51,2.7,4.43333333333333,0.597666666666667,2.7,6.03333333333333,0.446333333333333,1.66666666666667,2.03333333333333,0.830333333333333,0.4,2.56666666666667,2.93333333333333,2.56666666666667,1.36666666666667,0.133333333333333,1.63333333333333,2,15.1,"belmont",45,587.375,10.025,0.125,0.425,0.5625,0.045,-2.925,-0.3,-3.225,-0.175
"232","Ignas Brazdeikis",20,20,29.9,4.9,11,0.445,3.2,6.9,0.457,1.8,4.1,0.427,2.8,3.6,0.775,1,4.3,5.2,0.8,0.8,0.5,1.2,2.4,14.3,"michigan",7,110.2,4.42,-0.06,0.04,0,-0.0712,-5.84,-3.08,-8.92,-0.1
"233","Ike Anigbogu",17,0,12.4,2.1,3.8,0.554,2.1,3.8,0.554,0,0,NA,0.6,1.1,0.556,1.6,2.5,4.1,0.1,0.2,0.9,0.7,2.4,4.8,"ucla",7,18,7.8,0,0,0,-0.1575,-6.1,-1.1,-7.15,0
"234","Iman Shumpert",16,16,33.2,6.4,15.2,0.424,4.9,9.9,0.5,1.5,5.3,0.282,4.4,5.9,0.755,2.1,3.9,6,3.6,2.9,0.1,2.5,2.8,18.8,"georgia-tech",41.7857142857143,1035.42857142857,8.62142857142857,0.114285714285714,1,1.12857142857143,0.025,-3.17857142857143,0.414285714285714,-2.75714285714286,0.0857142857142857
"235","Immanuel Quickley",18,7,25.9,3.25,7.8,0.4045,1.6,4.05,0.384,1.65,3.7,0.4295,3.5,3.9,0.8675,0.2,2.9,3.15,1.5,0.65,0.1,1.05,1.9,11.65,"kentucky",64,1243,15.8,1.8,1.4,3.2,0.125,1.4,-0.5,0.9,0.9
"236","Isaac Humphries",15.5,1,8.45,0.95,1.85,0.5055,0.95,1.85,0.5055,0,0,NA,0.3,0.5,0.7085,1.1,1.65,2.75,0.1,0.05,0.5,0.3,2.05,2.25,"kentucky",5,56,3.4,-0.1,0,-0.1,-0.047,-6.2,-4.7,-11,-0.1
"237","Isaac Okoro",15,15,33.1,3.9,8.5,0.457,2.9,5.5,0.53,0.9,2.9,0.318,3.8,5.4,0.704,1.7,2.8,4.5,2.3,1.1,0.9,1.7,2.9,12.5,"auburn",67,2173,7.9,-0.1,1,0.9,0.02,-4.2,-0.9,-5.1,-1.7
"238","Isaiah Briscoe",18,18,32,4,9.4,0.4195,3.7,8.05,0.4605,0.25,1.35,0.157,1.85,3.6,0.5195,1.75,4,5.8,3.95,0.7,0.1,2.1,2.9,10.1,"kentucky",39,559,6.7,-0.3,0.5,0.3,0.023,-5.4,0.4,-5,-0.4
"239","Isaiah Canaan",16.6666666666667,13.3333333333333,33.2,5.23333333333333,12.1333333333333,0.433,2.63333333333333,5.83333333333333,0.447,2.56666666666667,6.3,0.417666666666667,4.9,6,0.816333333333333,0.466666666666667,2.26666666666667,2.76666666666667,3.4,1.4,0.0666666666666667,2.56666666666667,1.8,17.9666666666667,"murray-state",25.5384615384615,522.153846153846,9.10769230769231,0.261538461538462,0.223076923076923,0.492307692307692,0.0278461538461538,-2.19230769230769,-1.28461538461538,-3.48461538461538,-0.0230769230769231
"240","Isaiah Hicks",17.75,5.5,15.675,2.6,4.625,0.499,2.6,4.55,0.5205,0,0.075,NA,1.8,2.375,0.68925,1.5,2.1,3.575,0.65,0.325,0.425,1.075,2.325,7.025,"north-carolina",10.5,136,12.1,0,0.05,0.05,0.075,-4.25,0.5,-3.75,-0.15
