"","Rk","Player","Pos","Age","Tm","G","MP","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","Year","Acronym"
"28",106,"Marquis Daniels","SF",30,"BOS",49,938,11.7,0.527,0.246,3.3,11,7.4,10.6,2.2,1.8,12.9,15.1,0.3,1.7,2,0.103,-1.7,2.3,0.6,0.6,2011,"daniema01"
"29",354,"Nate Robinson","PG",26,"BOS",55,983,10.2,0.512,0.111,2,8.7,5.6,17.4,1.6,0.3,14.8,21.7,-0.3,1.5,1.1,0.054,-2.3,0,-2.3,-0.1,2011,"robinna01"
"30",254,"Nenad Krstić","C",27,"BOS",24,553,14.3,0.598,0.544,11.1,17,14.2,2.3,0.8,1.1,11.2,17.8,1,0.9,2,0.17,-1.4,-0.3,-1.8,0,2011,"krstine01"
"31",332,"Paul Pierce*","SF",33,"BOS",80,2774,19.7,0.62,0.44,1.6,16.6,9.5,16.1,1.5,1.4,12.3,24,6.5,5.1,11.6,0.201,3,1.6,4.6,4.6,2011,"piercpa01"
"32",355,"Rajon Rondo","PG",24,"BOS",68,2527,17.1,0.495,0.197,4.5,9.7,7.2,47.1,3.2,0.3,24.3,18.3,1.8,4.8,6.6,0.126,1.6,1.4,3.1,3.2,2011,"rondora01"
"33",9,"Ray Allen*","SG",35,"BOS",80,2890,16.4,0.615,0.224,2.3,9,5.8,12.7,1.4,0.4,9.8,19.8,5.8,4.2,10,0.166,2.3,0.6,2.9,3.6,2011,"allenra02"
"34",327,"Sasha Pavlović","SG",27,"BOS",17,149,5.1,0.55,0.192,0.9,10.1,5.8,2.9,1.8,0,17.5,11,-0.1,0.2,0.2,0.051,-5.3,1.2,-4.1,-0.1,2011,"pavloal01"
"35",134,"Semih Erden","C",24,"BOS",37,531,10.8,0.621,0.557,7.6,16.6,12.4,5.5,1.3,3.1,20.9,13.8,0.4,1,1.4,0.128,-4.3,2,-2.3,0,2011,"erdense01"
"36",315,"Shaquille O'Neal*","C",38,"BOS",37,752,17.4,0.659,0.652,8.3,20.1,14.6,5.9,1.1,4.4,17.8,20.1,1.1,1.6,2.7,0.174,-1.7,2,0.3,0.4,2011,"onealsh01"
"37",304,"Troy Murphy","PF",30,"BOS",17,178,10.1,0.503,0.342,8.1,17.6,13.1,5,2.4,0.4,13.8,13.7,0.1,0.4,0.4,0.111,-2.8,1.5,-1.3,0,2011,"murphtr01"
"38",414,"Von Wafer","SG",25,"BOS",58,553,10.6,0.524,0.239,1.7,8.8,5.5,9.8,1.7,0.7,10.2,17,0.2,0.9,1.1,0.092,-2.3,0.9,-1.4,0.1,2011,"wafervo01"
"39",114,"Boris Diaw","PF",28,"CHA",82,2778,13.9,0.558,0.159,4.5,13.6,9,20.6,1.4,1.3,16.7,16.8,2.4,2.3,4.8,0.082,0.3,0.3,0.6,1.8,2011,"diawbo01"
"40",25,"D.J. Augustin","PG",23,"CHA",82,2757,15.9,0.541,0.31,1.7,8.3,4.9,31.1,1,0.1,12.5,21.2,4.9,1.3,6.2,0.108,1.7,-1.6,0.1,1.5,2011,"augusdj01"
"41",431,"D.J. White","C",24,"CHA",24,466,17.7,0.571,0.351,8,19.6,13.8,5.8,0.7,2.1,3.8,18.6,1.1,0.4,1.6,0.161,1,-0.9,0.1,0.2,2011,"whitedj01"
"42",101,"Dante Cunningham","PF",23,"CHA",22,529,13.1,0.525,0.094,5.2,15,10.1,4.5,1.5,1.7,8.7,18.3,0.2,0.5,0.7,0.065,-1.8,-1.1,-2.8,-0.1,2011,"cunnida01"
"43",65,"Derrick Brown","SF",23,"CHA",41,488,12.4,0.565,0.416,7.9,13,10.4,9.9,1.8,1.3,17.3,15.6,0.3,0.4,0.8,0.074,-1.7,0,-1.6,0,2011,"brownde04"
"44",116,"DeSagana Diop","C",29,"CHA",16,181,5.4,0.347,0.458,8,18.9,13.4,5.7,1.2,6.7,27.6,10.3,-0.3,0.3,-0.1,-0.016,-6.7,1.8,-4.9,-0.1,2011,"diopde01"
"45",286,"Dominic McGuire","SF",25,"CHA",52,760,10.4,0.437,0.214,10,21.8,15.9,9,0.7,3.5,11.2,13.8,0.1,0.9,0.9,0.059,-3.3,0.3,-2.9,-0.2,2011,"mcguido01"
"46",306,"Eduardo Nájera","PF",34,"CHA",31,372,5.5,0.449,0.153,4.5,9.8,7.2,8.2,1.6,1.3,14.5,11.3,-0.1,0.3,0.2,0.02,-4.5,0.9,-3.6,-0.2,2011,"najered01"
"47",392,"Garrett Temple","PG",24,"CHA",12,126,6.4,0.406,0.262,0,14.5,7.2,30.2,3.8,2.6,29.9,24.9,-0.5,0.2,-0.3,-0.119,-6.2,-0.4,-6.6,-0.1,2011,"templga01"
"48",198,"Gerald Henderson","SG",23,"CHA",68,1661,13.2,0.509,0.286,3.5,11.6,7.5,10.7,1.6,1.6,9.1,19.9,0.9,1.4,2.4,0.068,-1.6,-0.2,-1.8,0.1,2011,"hendege02"
"49",418,"Gerald Wallace","SF",28,"CHA",48,1872,15,0.53,0.488,4.6,21,12.7,10.5,1.7,2.1,12.4,20.2,1.3,2.3,3.6,0.092,-0.3,0.7,0.4,1.1,2011,"wallage01"
"50",342,"Joel Przybilla","C",31,"CHA",5,74,0.3,0.383,0.4,14.6,24.7,19.6,0,0,1.1,37.3,11.9,-0.2,0.1,-0.1,-0.074,-9.9,-1.9,-11.8,-0.2,2011,"przybjo01"
"51",66,"Kwame Brown","C",28,"CHA",66,1714,12.8,0.55,0.616,10.3,21.6,15.9,4.1,0.8,1.8,12.6,14.9,1.8,1.7,3.5,0.097,-1.9,-0.9,-2.8,-0.3,2011,"brownkw01"
"52",80,"Matt Carroll","SG",30,"CHA",54,582,12.2,0.53,0.261,2.5,11.7,7.1,6.9,1.6,0.8,9.4,19.8,0.3,0.5,0.8,0.062,-1.9,-0.8,-2.7,-0.1,2011,"carroma01"
"53",298,"Nazr Mohammed","C",33,"CHA",51,851,15.9,0.52,0.278,13.3,22.6,17.9,3.7,0.9,4.4,12.5,22.4,0.3,1.1,1.4,0.08,-2.4,-0.8,-3.2,-0.3,2011,"mohamna01"
"54",263,"Shaun Livingston","PG",25,"CHA",73,1261,14.3,0.53,0.315,2.8,11.6,7.2,22.5,2,1.9,16.3,20.1,0.7,1.2,1.9,0.073,-1,1,0,0.7,2011,"livinsh01"
"55",91,"Sherron Collins","PG",23,"CHA",20,66,3.6,0.334,0.04,0,9.2,4.6,19.6,1.6,0,13.6,20.9,-0.2,0,-0.2,-0.121,-6,-2.1,-8,-0.1,2011,"collish01"
"56",224,"Stephen Jackson","SG",32,"CHA",67,2405,14.6,0.52,0.288,2.6,12.7,7.7,18.4,1.8,0.9,14.9,27.4,-0.2,2.1,1.9,0.039,0.2,-0.7,-0.5,0.9,2011,"jacksst02"
"57",397,"Tyrus Thomas","C",24,"CHA",41,861,18.2,0.536,0.411,9.1,22.5,15.8,6.2,1.9,6.2,14.3,24.9,0.4,1.5,1.8,0.103,-1.8,1.2,-0.6,0.3,2011,"thomaty01"
"58",363,"Brian Scalabrine","PF",32,"CHI",18,88,6.5,0.526,0,1.4,9.1,5.3,10.4,1.8,3.5,20.8,12.5,0,0.2,0.1,0.071,-6.5,2.7,-3.8,0,2011,"scalabr01"
"59",422,"C.J. Watson","PG",26,"CHI",82,1091,12.8,0.466,0.236,1.8,8.1,5,26.9,2.7,0.8,14.4,21.4,0.2,2,2.1,0.093,-1.4,1.1,-0.3,0.5,2011,"watsocj01"
"60",55,"Carlos Boozer","C",29,"CHI",59,1882,18.8,0.542,0.289,8.3,26.3,17.6,14.3,1.3,0.7,13.5,26.9,1.9,3.9,5.8,0.149,0.2,0.8,1,1.4,2011,"boozeca01"
"61",356,"Derrick Rose","PG",22,"CHI",81,3026,23.5,0.55,0.348,3.2,9.4,6.4,38.7,1.5,1.3,13.1,32.2,8.3,4.8,13.1,0.208,6.3,0.5,6.8,6.7,2011,"rosede01"
"62",238,"James Johnson","SF",23,"CHI",13,123,8.8,0.449,0.317,5.9,16.7,11.4,18.1,3.5,5.6,27.8,24.2,-0.4,0.3,0,-0.014,-6.8,3.4,-3.4,-0.1,2011,"johnsja01"
"63",310,"Joakim Noah","C",25,"CHI",48,1576,18.8,0.579,0.468,13.9,22.8,18.5,10.7,1.6,3.5,15.7,16.8,3.1,3.6,6.7,0.205,0.8,2.1,2.9,1.9,2011,"noahjo01"
"64",268,"John Lucas III","PG",28,"CHI",2,10,-0.1,0.258,0.667,0,0,0,15,0,0,0,17.8,0,0,0,-0.121,-6.3,-3.3,-9.6,0,2011,"lucasjo02"
"65",51,"Keith Bogans","SG",30,"CHI",82,1461,9,0.559,0.104,1.6,10.1,5.9,10.1,1.4,0.5,11.3,11.4,1.4,2.2,3.6,0.118,-1.5,1.4,-0.2,0.7,2011,"boganke01"
"66",396,"Kurt Thomas","PF",38,"CHI",52,1178,10,0.527,0.172,7.7,21.9,15,7.4,1.4,2.7,17.3,9.4,0.7,2.6,3.2,0.131,-3.4,2.8,-0.6,0.4,2011,"thomaku01"
"67",252,"Kyle Korver","SG",29,"CHI",82,1649,13,0.572,0.156,0.9,9.5,5.3,12.1,1.1,0.9,9.2,18.3,2.7,2.4,5.1,0.149,0.4,0.7,1.1,1.3,2011,"korveky01"
"68",112,"Luol Deng","SF",25,"CHI",82,3208,15.5,0.549,0.291,4.4,12.8,8.7,11.9,1.3,1.1,10.7,20.9,4.7,5.2,9.9,0.149,1.1,0.6,1.7,3,2011,"denglu01"
"69",24,"Ömer Aşık","C",24,"CHI",82,989,11.8,0.559,1.028,13.7,22.3,18.1,4.7,1.1,4.3,23.8,12.5,0.5,2.2,2.7,0.13,-3.6,1.8,-1.8,0.1,2011,"asikom01"
"70",71,"Rasual Butler","SG",31,"CHI",6,26,14.5,0.727,0,0,4.4,2.3,0,0,0,15.4,23,0,0,0.1,0.107,2.5,-2.4,0.1,0,2011,"butlera01"
"71",62,"Ronnie Brewer","SG",25,"CHI",81,1781,13.8,0.518,0.311,3.7,13.2,8.6,12.1,3.2,0.9,10.2,13.9,1.7,3.8,5.4,0.147,-1.3,3.7,2.4,2,2011,"brewero02"
"72",165,"Taj Gibson","PF",25,"CHI",80,1742,14.3,0.502,0.295,11.2,19.4,15.4,5.3,1.2,4.6,11.1,16.8,1.4,3.8,5.2,0.143,-2.2,1.4,-0.9,0.5,2011,"gibsota01"
"73",162,"Alonzo Gee","SG",23,"CLE",40,973,11.1,0.552,0.342,5.6,13.1,9.3,5.5,1.7,1.3,14,14.6,0.6,0.5,1,0.052,-1.9,-0.4,-2.3,-0.1,2011,"geeal01"
"74",409,"Anderson Varejão","C",28,"CLE",31,994,15.2,0.56,0.375,11,24.1,17.4,7.4,1.4,2.9,13.7,13.3,1.3,0.9,2.2,0.105,-0.9,0.1,-0.8,0.3,2011,"varejan01"
"75",227,"Antawn Jamison","PF",34,"CLE",56,1842,16.8,0.516,0.267,5.2,18.5,11.7,9.6,1.4,1.2,7.3,26,1.5,1.1,2.6,0.067,1.3,-1.5,-0.1,0.9,2011,"jamisan01"
"76",323,"Anthony Parker","SF",35,"CLE",72,2091,10.5,0.505,0.172,1.8,10.5,6,16.7,1.7,0.4,11.9,14.6,0.9,0.6,1.5,0.034,-1.7,-0.3,-2,0,2011,"parkean01"
"77",107,"Baron Davis","PG",31,"CLE",15,380,19.3,0.548,0.152,1.8,9.3,5.4,45.4,2.2,1.2,17,27.3,0.5,0.2,0.7,0.086,4.8,-0.9,3.9,0.6,2011,"davisba01"
"78",140,"Christian Eyenga","SF",21,"CLE",44,947,9,0.476,0.092,3.2,12,7.5,6.2,1.9,2.3,12.9,17.5,-0.8,0.5,-0.3,-0.016,-3.4,-0.6,-4,-0.5,2011,"eyengch01"
"79",164,"Daniel Gibson","SG",24,"CLE",67,1865,13.2,0.533,0.247,1.4,9.7,5.5,18.3,1.3,0.9,9.9,19.7,2,0.4,2.4,0.062,0.3,-0.7,-0.4,0.8,2011,"gibsoda01"
"80",201,"J.J. Hickson","C",22,"CLE",80,2256,15.6,0.503,0.392,10.8,25,17.7,7.5,1.1,1.8,13.6,25.5,-0.2,1.7,1.5,0.032,-1.8,-2.1,-3.8,-1.1,2011,"hicksjj01"
"81",300,"Jamario Moon","SF",30,"CLE",40,764,10.7,0.488,0.058,2,16.1,8.9,9.3,1.7,2.7,8.1,12.5,0.2,0.5,0.7,0.043,-1.4,0.6,-0.8,0.2,2011,"moonja01"
"82",437,"Jawad Williams","SF",27,"CLE",26,391,4.8,0.396,0.095,2,12.4,7.1,9,1.2,0.6,10.9,17.1,-0.6,0.1,-0.5,-0.067,-5.5,-1.4,-6.8,-0.5,2011,"willija04"
"83",172,"Joey Graham","SF",28,"CLE",39,586,7.7,0.518,0.201,1.5,15.3,8.2,5.2,0.5,0.9,12.6,17.2,-0.2,0.1,0,-0.004,-4.5,-1.3,-5.8,-0.6,2011,"grahajo01"
"84",337,"Leon Powe","PF",27,"CLE",14,187,12.9,0.497,0.441,9.6,13.9,11.7,1.9,1.9,1.2,6.6,18.3,0.1,0.1,0.2,0.051,-1.8,-1.5,-3.3,-0.1,2011,"powele01"
"85",185,"Luke Harangody","PF",23,"CLE",21,399,11,0.455,0.133,6.4,19.3,12.7,8.3,1.4,1.9,7.1,17.5,0,0.3,0.3,0.032,-2.3,-0.5,-2.8,-0.1,2011,"haranlu01"
"86",189,"Manny Harris","SG",21,"CLE",54,933,10.4,0.486,0.322,4.3,13.2,8.6,14.8,1.7,0.6,16,19.1,-0.4,0.4,0,0.002,-2.3,-1.2,-3.5,-0.4,2011,"harrima01"
"87",440,"Mo Williams","PG",28,"CLE",36,1065,13.8,0.471,0.221,1.6,9.1,5.2,42.8,1.6,0.7,17.2,26,-0.4,0.3,-0.1,-0.005,-0.3,-2.5,-2.8,-0.2,2011,"willima01"
"88",367,"Ramon Sessions","PG",24,"CLE",81,2133,19,0.559,0.545,2.4,11.6,6.9,35,1.5,0.3,15.6,24.2,3.8,0.6,4.4,0.099,1.8,-1.4,0.3,1.3,2011,"sessira01"
"89",208,"Ryan Hollins","C",26,"CLE",70,1182,10.7,0.642,0.744,6.6,11.6,9,3.6,1,2.7,18.7,13.7,1.3,0.5,1.8,0.072,-4,-0.3,-4.3,-0.7,2011,"holliry01"
"90",361,"Samardo Samuels","PF",22,"CLE",37,701,11.7,0.498,0.456,12,14,13,4.2,1.1,2,15.5,22.1,-0.3,0.3,0,0.002,-3.6,-2.2,-5.8,-0.7,2011,"samuesa01"
"91",134,"Semih Erden","C",24,"CLE",4,64,6.2,0.391,0.429,10.5,9.2,9.9,2.3,1.6,3.6,10.7,13.2,0,0,0,0.002,-6.8,-1.4,-8.2,-0.1,2011,"erdense01"
"92",4,"Alexis Ajinça","C",22,"DAL",10,75,12.8,0.435,0.094,8.1,18,13.3,4.3,2.1,5.1,2.9,21.4,0,0.1,0.1,0.084,-3.4,0.5,-2.9,0,2011,"ajincal01"
"93",196,"Brendan Haywood","C",31,"DAL",72,1331,11.7,0.532,0.794,11.8,20.9,16.5,2.1,0.6,4.2,14.5,12.4,0.8,2.1,2.9,0.104,-2.5,0.6,-1.9,0,2011,"haywobr01"
"94",77,"Brian Cardinal","SF",33,"DAL",56,618,9.7,0.672,0.18,2,8.9,5.6,9.1,2,0.9,13.6,9.5,1,0.7,1.7,0.132,-1.2,2.4,1.2,0.5,2011,"cardibr01"
"95",70,"Caron Butler","SF",30,"DAL",29,867,14.2,0.523,0.233,3.1,12.5,8,9.1,1.7,0.7,10.5,25.1,0.2,1,1.2,0.067,-0.8,0,-0.9,0.2,2011,"butleca01"
"96",61,"Corey Brewer","SG",24,"DAL",13,148,17.6,0.573,0.412,9.9,8.4,9.1,13.3,3.9,1,14.2,22.2,0.3,0.3,0.5,0.163,-0.8,2.6,1.8,0.1,2011,"breweco01"
"97",383,"DeShawn Stevenson","SG",29,"DAL",72,1158,9.8,0.549,0.13,2.1,8.4,5.4,10,1,0.3,11.2,15.9,0.8,1,1.8,0.074,-0.1,-0.3,-0.4,0.5,2011,"stevede01"
"98",313,"Dirk Nowitzki","PF",32,"DAL",73,2504,23.4,0.612,0.376,2.4,20.8,12,14.2,0.8,1.4,9.1,28.2,7.8,3.3,11.1,0.213,4.3,0.8,5.1,4.5,2011,"nowitdi01"
"99",243,"Dominique Jones","SG",22,"DAL",18,135,10.6,0.4,0.378,5.4,15.9,10.8,20.8,1.9,1.7,16,21.7,-0.2,0.2,0,0.007,-2.5,1.6,-0.9,0,2011,"jonesdo02"
"100",271,"Ian Mahinmi","C",24,"DAL",56,488,13.7,0.645,0.837,10.7,17.8,14.4,2.5,1.5,2.3,15.7,15.3,1,0.8,1.8,0.177,-3.3,1.1,-2.1,0,2011,"mahinia01"
"101",30,"J.J. Barea","PG",26,"DAL",81,1669,14.8,0.535,0.242,2.1,8.8,5.6,31.2,0.9,0,15.9,23.9,1.9,1.4,3.2,0.093,0.5,-1,-0.5,0.6,2011,"bareajo01"
"102",249,"Jason Kidd*","PG",37,"DAL",80,2653,14.4,0.5,0.129,1.6,13.4,7.7,35.4,2.7,0.8,22.1,14.3,2.5,3.9,6.4,0.116,0.9,2,2.8,3.3,2011,"kiddja01"
"103",393,"Jason Terry","SG",33,"DAL",82,2564,15.9,0.545,0.196,1.1,5.7,3.5,22.2,1.9,0.4,12.4,24.7,2.8,2.5,5.3,0.1,1,-0.1,0.9,1.9,2011,"terryja01"
"104",384,"Peja Stojaković","SF",33,"DAL",25,506,14.1,0.563,0.087,3.4,11.6,7.6,7,1.1,0.3,5.4,18.7,0.7,0.5,1.2,0.118,1.5,-0.3,1.3,0.4,2011,"stojape01"
"105",40,"Rodrigue Beaubois","PG",22,"DAL",28,496,11.4,0.5,0.135,1.7,10.2,6.1,21.9,2.1,1.2,16.6,26.7,-0.4,0.7,0.2,0.022,-3.2,0.5,-2.7,-0.1,2011,"beaubro01"
"106",327,"Sasha Pavlović","SF",27,"DAL",10,163,7.8,0.551,0.143,0,8.3,4.3,6.3,1.6,1.4,11.8,12.1,0,0.2,0.2,0.067,-2.8,1.2,-1.6,0,2011,"pavloal01"
"107",272,"Shawn Marion","SF",32,"DAL",80,2253,17,0.551,0.197,9.1,19.2,14.3,8.3,1.6,1.7,12.5,21.5,2.3,3.4,5.6,0.12,-0.1,0.4,0.3,1.3,2011,"mariosh01"
"108",312,"Steve Novak","SF",27,"DAL",7,18,19.6,0.688,0,0,31.3,16.2,0,0,0,0,20.8,0.1,0,0.1,0.205,5.1,0.7,5.8,0,2011,"novakst01"
